AUS,17.0,18.5,2.2,43,1.8,82.5,3.2
AUT,23.3,17.5,1.0,31,1.5,81.3,3.1
BEL,19.8,22.3,2.5,37,1.7,81.1,3.3
BRA,-,-,-,15,1.8,74.7,14.6
CAN,-,-,0.1,55,-,-,-
CHE,20.5,19.1,0.6,40,1.5,83.0,3.9
CHL,17.6,17.4,2.3,22,-,79.1,-
CHN,15.9,-,0.9,-,1.6,76.0,9.2
COL,-,-,3.2,22,1.9,74.2,13.6
CRI,18.4,20.8,2.5,23,1.8,79.6,8.5
CZE,18.5,14.7,0.6,22,1.6,78.7,2.5
DEU,16.1,18.0,0.6,28,1.5,80.7,3.3
DNK,20.8,22.5,1.5,37,1.7,80.8,3.7
ESP,23.3,18.8,5.3,35,1.3,83.0,2.7
EST,21.8,15.9,0.1,38,1.6,77.7,2.5
FIN,15.9,21.8,2.8,43,1.7,81.6,1.7
FRA,17.5,22.8,3.6,34,1.9,82.4,3.7
GBR,18.2,18.2,4.3,44,1.8,81.0,3.9
GRC,23.9,20.8,5.7,29,1.3,81.1,4.0
HUN,18.4,17.2,2.0,24,1.4,75.7,4.2
IDN,13.7,8.6,2.8,10,2.4,69.1,22.8
IND,-,-,-,-,2.4,68.3,37.9
IRL,12.6,11.9,1.9,43,1.9,81.5,3.4
ISL,19.1,19.4,0.8,39,1.8,82.5,2.2
ISR,14.8,18.9,2.1,49,3.1,82.1,3.1
ITA,20.5,16.9,2.6,18,1.4,82.6,2.9
JPN,21.6,15.5,3.6,50,1.5,83.9,-
KOR,14.9,16.9,1.3,45,1.2,82.1,2.7
LTU,31.1,14.3,0.2,39,1.7,74.5,4.2
LUX,17.1,15.4,1.4,40,1.5,82.4,2.8
LVA,25.6,15.8,1.2,32,1.7,74.6,4.1
MEX,28.3,11.0,0.9,16,2.2,75.0,12.5
NLD,20.9,21.4,2.1,35,1.7,81.6,3.3
NOR,14.9,22.7,6.1,43,1.7,82.4,2.3
NZL,-,-,0.0,34,2.0,81.7,-
POL,25.2,14.8,2.6,28,1.3,77.6,4.0
PRT,24.7,19.7,4.4,23,1.3,81.2,2.9
RUS,-,-,1.5,56,1.8,71.3,6.5
SVK,21.9,13.3,2.7,21,1.4,76.7,5.1
SVN,20.1,16.3,2.9,30,1.6,80.9,1.6
SWE,18.0,21.2,0.2,40,1.9,82.3,2.5
TUR,25.2,12.4,1.3,18,2.1,78.0,10.7
USA,16.3,21.8,4.2,45,1.8,78.8,-
ZAF,15.0,17.2,-,12,2.3,57.4,33.6
